id,Order,Division,Type,Groups,StrFormat
1,1,SELF,Count,Team Information,N
2,1,SPOC,Count,Team Information,N
3,1,CHOC,Count,Team Information,N
4,2,SELF,Sum,Team Information,N
5,2,SPOC,Sum,Team Information,N
6,2,CHOC,Sum,Team Information,N
7,3,SELF,Category,Team Information,Y
8,3,SPOC,Mode,Team Information,Y
9,3,CHOC,Mode,Team Information,Y
10,4,SELF,Category,Team Information,Y
11,4,SPOC,Mode,Team Information,Y
12,4,CHOC,Mode,Team Information,Y
13,5,SELF,Category,Team Information,Y
14,5,SPOC,Mean,Team Information,N
15,5,CHOC,Mean,Team Information,N
16,6,SELF,Category,Team Information,N
17,6,SPOC,Mean,Team Information,N
18,6,CHOC,Mean,Team Information,N
19,7,SELF,Sum,Team Information,N
20,7,SPOC,Mean,Team Information,N
21,7,CHOC,Mean,Team Information,N
22,8,SELF,Indicator,Team Information,Y
23,8,SPOC,Percent,Team Information,N
24,8,CHOC,Percent,Team Information,N
25,9,SELF,Indicator,Team Information,Y
26,9,SPOC,Count,Team Information,N
27,9,CHOC,Count,Team Information,N
28,10,SPOC,Percent,Team Information,N
29,10,CHOC,Percent,Team Information,N
30,11,SELF,Indicator,Flexible Arrangements,Y
31,11,SPOC,Percent,Flexible Arrangements,N
32,11,CHOC,Percent,Flexible Arrangements,N
33,12,SELF,Indicator,Flexible Arrangements,Y
34,12,SPOC,Percent,Flexible Arrangements,N
35,12,CHOC,Percent,Flexible Arrangements,N
36,13,SELF,Indicator,Flexible Arrangements,Y
37,13,SPOC,Percent,Flexible Arrangements,N
38,13,CHOC,Percent,Flexible Arrangements,N
39,14,SELF,Rate,Leave,N
40,14,SPOC,Rate,Leave,N
41,14,CHOC,Rate,Leave,N
42,15,SELF,Sum,Leave,N
43,15,SPOC,Mean,Leave,N
44,15,CHOC,Mean,Leave,N
45,16,SELF,Rate,Leave,N
46,16,SPOC,Rate,Leave,N
47,16,CHOC,Rate,Leave,N
48,17,SELF,Rate,Leave,Y
49,17,SPOC,Rate,Leave,N
50,17,CHOC,Rate,Leave,N
51,18,SELF,Category,Career Progression,Y
52,18,SPOC,Count,Career Progression,N
53,18,CHOC,Count,Career Progression,N
54,19,SPOC,Percent,Career Progression,N
55,19,CHOC,Percent,Career Progression,N
56,20,SELF,Indicator,Career Progression,Y
57,20,SPOC,Count,Career Progression,N
58,20,CHOC,Count,Career Progression,N
59,21,SPOC,Percent,Career Progression,N
60,21,CHOC,Percent,Career Progression,N
61,22,SELF,Sum,Career Progression,N
62,22,SPOC,Mean,Career Progression,N
